rem;Für Multiple-Choice Fragen (Richtige Antwort als erste, Antworten werden automatisch gemischt):;;;;;
rem;Frage;Richtige Antwort;Antwort 2;Antwort 3;Antwort 4;Informationen
rem;;;;;;
rem;Für Schätzfragen:;;;;;
rem;Frage;Richtige Antwort;Toleranzwert(Wie weit darf der Nutzer weg sein?);;;Informationen
rem;;;;;;
rem;Für Medienfragen:;;;;;
rem;Frage;Richtige Antwort;Antwort 2;Antwort 3;Antwort 4;Dateiname
rem;;;;;;
cat;Weltweit;;;;;
mcq;Welche Menge des gesamten Flusswassers der Erde führt der Amazonas mit sich?;Zwei Drittel;Ein Zehntel;Ein Drittel;Ein Hundertstel;Der zweitlängste Fluss der Erde nach dem Nil ist mit Abstand der wasserreichste. Zwei Drittel des gesamten Flusswassers der Erde durchströmen sein Becken, das knapp 40 Prozent des gesamten südamerikanischen Kontinents bedeckt.
mcq;Wasserverbrauch weltweit: Schätzen Sie die globale Verteilung des Wasserverbrauchs zwischen Haushalten, Industrie und Landwirtschaft.;Landwirtschaft 69% Industrie 23% Haushalte 8%;Landwirtschaft 33% Industrie 54% Haushalte 13%;Landwirtschaft 50% Industrie 30% Haushalte 20%;Landwirtschaft 1% Industrie 92% Haushalte 7%;
mcq;Wie viele Menschen haben weltweit keinen Zugang zu sauberem Trinkwasser?;1,2 Milliarden;5 Millionen;70 Millionen ;150.000;Sauberes Wasser, für uns selbstverständlich, für 1.200.000.000 Menschen nicht
mcq;Durch welche Aktion wollte Umweltminister Klaus Töpfer 1988 angeblich beweisen, dass der Rhein nach einem Chemieunfall 1986 in Basel wieder sauber war?;Er schwamm durch den Rhein;Er kochte ein Menü mit Rheinwasser;Er trank ein Glas Wasser aus dem Rhein;Er nahm am Ufer des Rheins ein Bad im Rheinwasser;Die Aktion wurde in der Öffentlichkeit als Beweis dargestellt, dass die eilig getroffenen Schutzmaßnahmen für den Rhein bereits gegriffen hätten. Der wahre Hintergrund war jedoch lediglich eine verlorene Wette von Klaus Töpfer.
mcq;Was taten die Bauern im alten Ägypten in der Zeit, in der sie auf die Überflutung ihrer Felder durch den Nil warteten?;Sie mussten beim Bau der Pyramiden mithelfen;Sie hatten frei und ließen es sich gut gehen;Sie gingen in der Regel einem Zweitjob nach;Sie waren in einer landwirtschaftlichen Verwaltungsbehörde beschäftigt;Die altägyptischen Bauern waren nur ein Teil des Jahres mit der Bewirtschaftung ihrer Felder beschäftigt. In der Trockenzeit konnten sie nichts tun. In dieser Zeit zogen sie die Pharaonen zu Frondiensten heran, darunter auch zum Bau der Pyramiden.
mcq;Der indische Ganges ist einer der dreckigsten Flüsse der Welt. Wodurch wird er am meisten verschmutzt?;Durch Rückstände menschlicher Leichen;Durch industrielle Abwässer;Durch das bei Hindus zur Pflicht gehörende rituelle Bad im Fluss;Durch die Ausscheidungen der in Indien heiligen Kühe;Nicht nur das Bad im Ganges ist Hindus heilig. Ferner glauben sie, dass ihre Seele befreit wird, wenn ihre Asche über dem Ganges verstreut wird. Familien, die sich die teure Einäscherung nicht leisten können, übergeben ihre Toten direkt dem Ganges.
mcq;Die chilenische Atacama-Wüste ist die trockenste Wüste der Welt. Wie versuchen die Bewohner des Dorfes Chunchungo am Rande der Wüste, Trinkwasser zu gewinnen?;Durch das Einfangen von Wasser aus Nebel;Durch das Anzapfen wasserspeichernder Kakteen;Durch das Bohren des tiefsten Brunnens der Welt;Durch das Bauen der längsten Holzpipeline der Welt;Seit 1992 fangen die Bewohner des Dorfes in feinmaschigen Netzen den Nebel ein. Die Wassertropfen laufen in ein Auffangbecken und liefern jedem Einwohner etwa 20 Liter Trinkwasser am Tag.
mcq;Was forderte der australische Energieversorger "Energy Australia" 2006, um in dem traditionell regenarmen Land Wasser zu sparen?;Das Singen unter der Dusche zu verbieten;Komplett auf die Landwirtschaft zu verzichten;Den Ausschank von Leitungswasser in Restaurants zu verbieten;Auf jedes Rind eine Wassersteuer zu erheben;Nach Berechnungen des Energieversorgers verbringt ein Australier jeden Tag sieben Minuten unter der Dusche. Ohne zu singen würden die Australier schneller duschen, könnten 100 Dollar im Jahr sparen und etwas gegen die Wasserverschwendung tun.
mcq;Wie will der westafrikanische Senegal in Zukunft mehr Wasser für seine Landwirtschaft bereitstellen?;Er will Wolken gezielt abregnen lassen;Er will mit Tankschiffen Wasser aus Europa importieren;Er will unterirdisch die Grundwasserreserven des wasserreicheren Nachbarlandes Guinea anzapfen;Er will eine Wasserpipeline zum Victoria-See in Ostafrika bauen;Im Senegal bilden sich zwar stets einige Wolken, doch es regnet nur selten. Theoretisch gibt es zwei Möglichkeiten, Wolken tatsächlich zum Regnen zu bringen. Wissenschaftler bezweifeln jedoch, dass dies tatsächlich gezielt möglich ist.
mcq;Wie will die Stadt Los Angeles erreichen, dass ihre Bürger weniger Wasser verbrauchen?;Durch Zuschüsse auf den Kauf von Kunstrasen für die Gärten;Durch einen automatischen Wasserstopp in jedem Haushalt bei zu viel Verbrauch;Durch das Schließen aller öffentlichen Schwimmbäder;Die Bürger sollen ihre Pools nur zur Hälfte mit Wasser füllen dürfen;Los Angeles versucht durch eine Reihe von Maßnahmen, die Bürger zum Sparen zu ermuntern. Dazu gehören neben neuen Toilettenspülungen in Restaurants auch finanzielle Zuschüsse auf wassersparende Waschmaschinen und Kunstrasen.
mcq;Warum standen die beiden 2010 eingeweihten Meerwasserentsalzungsanlagen auf Mallorca ein Jahr später schon wieder still?;Es fehlten die Abnehmer für das entsalzte Wasser;Es fehlte bei beiden Anlagen eine Baugenehmigung;Die Anlagen wurden falsch gewartet und waren schon kaputt;Die Anlagen entsalzten das Meerwasser nicht richtig;Die in Andratx und Alcdia erbauten Anlagen fanden keinen Abnehmer, weil es ab 2011 ein System zur Wiederverwertung von aufbereitetem Wasser in Hotels gab.
mcq;Wie viele Menschen versorgt der Bodensee mit Trinkwasser?;vier Millionen Menschen;zwei Millionen Menschen;20 Millionen Menschen;500.000 Menschen;Vier Millionen Menschen bekommen ihr Leitungswasser vom Bodensee. Der Bodensee ist der größte Trinkwasserspeicher Europas.
mcq;Wie weit geht man in Afrika durchschnittlich bis zur nächsten Wasserquelle?;6 Kilometer;500 Meter;1 Kilometer;4 Kilometer;Ganze 6.000 Meter müssen in Afrika durchschnittlich zum Wasserholen zurückgelegt werden.
rem;;;;;;
cat;Allgemein;;;;;
